Data Source,,,,,,,,,,,,,,,,,
Last Updated Date,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country Name,Indicator Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Georgia,GDP (current US$),3395778674,3991374549,5125273881,6410941013,7745406201,10172869680,12795044473,10766809099,11638536834,14434619982,15846474596,16140047012,16509305828,13993546732,14378016729,
Ghana,GDP (current US$),6166330136,7632406553,8881368538,10731634117,20409257610,24758819718,28526891010,25977847814,32174772956,39566292433,41939728979,47805069495,38616536132,37543361204,42689783734,
Guinea,GDP (current US$),2949637039,3446442219,3666349049,2937071767,4220053411,6281695536,6963961726,6716817572,6861546076,6785188889,7387103675,8376667793,8791353805,8767143623,8200248003,
"Gambia, The",GDP (current US$),578236035.1,487038821.6,578785279.4,624174724.4,655068695.8,798870875.7,965769127.1,900628061.6,951804226.9,898283477.5,910026287.3,898957682.7,833240810.2,907652509.6,964599178.1,
Guinea-Bissau,GDP (current US$),415843482,476388260.6,531109356.2,586791883.7,591829908.4,695606288.6,864136713,825828703.6,850633309.8,1099385895,989875559.1,1046117071,1055186196,1036130507,1164944510,
Equatorial Guinea,GDP (current US$),1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16298542028,21329395901,22389627294,21942597765,21736500713,12597210658,10684804794,
Greece,GDP (current US$),1.53831E+11,2.01924E+11,2.40521E+11,2.47783E+11,2.73318E+11,3.18498E+11,3.54461E+11,3.3E+11,2.99362E+11,2.87798E+11,2.45671E+11,2.39862E+11,2.3703E+11,1.95542E+11,1.92691E+11,
Grenada,GDP (current US$),540336925.9,591018407.4,599118592.6,695370296.3,698700655.9,758683598.5,825977888.9,771278111.1,771015888.9,778648666.7,799882148.1,842620111.1,911481481.5,997007925.9,1056188593,
Guatemala,GDP (current US$),20776669467,21917706491,23965275996,27211377225,30231249362,34113107086,39136893345,37733994976,41338595381,47654841113,50388454861,53851058955,58722323918,63767597194,68763255964,
Guam,GDP (current US$),3385000000,3560000000,3857000000,4197000000,4213000000,4375000000,4621000000,4781000000,4895000000,4928000000,5199000000,5337000000,5531000000,5697000000,5793000000,
Guyana,GDP (current US$),722460886.4,741929342.8,785918769.6,824880550.3,1458449453,1740334782,1922598121,2061323854,2273225042,2576024116,2861562266,2987684170,3077643314,3197225182,3502397094,
High income,GDP (current US$),2.84735E+13,3.19231E+13,3.55322E+13,3.75749E+13,3.96547E+13,4.33382E+13,4.60304E+13,4.31407E+13,4.52068E+13,4.87797E+13,4.88146E+13,4.93463E+13,5.03624E+13,4.75775E+13,4.85575E+13,
"Hong Kong SAR, China",GDP (current US$),1.66349E+11,1.61385E+11,1.691E+11,1.8157E+11,1.93536E+11,2.11597E+11,2.1928E+11,2.14046E+11,2.28638E+11,2.48514E+11,2.62629E+11,2.75697E+11,2.91459E+11,3.09404E+11,3.20914E+11,
Honduras,GDP (current US$),7775078403,8140271081,8772194250,9672035709,10841742348,12275501784,13789715133,14587496229,15839344592,17710315006,18528506894,18496438641,19756494435,20844284855,21516938910,
Heavily indebted poor countries (HIPC),GDP (current US$),1.60612E+11,1.82909E+11,2.10715E+11,2.4304E+11,2.91439E+11,3.47725E+11,4.19658E+11,4.23821E+11,4.67852E+11,5.22236E+11,5.62429E+11,6.10042E+11,6.478E+11,6.38733E+11,6.48289E+11,
Croatia,GDP (current US$),26878499206,34658113497,41574530816,45416358502,50453577898,60093155533,70481451814,62703095751,59665427465,62236751773,56485301967,57769872075,57080369368,48921877448,50714957391,
Haiti,GDP (current US$),3472194099,2960306121,3537721020,4310356253,4756204070,5885321656,6548530572,6584649419,6622541529,7516834160,7890216508,8452509316,8776360623,8724656126,8022638722,
Hungary,GDP (current US$),67716887203,85324771841,1.04067E+11,1.13035E+11,1.15295E+11,1.39851E+11,1.57998E+11,1.30594E+11,1.30923E+11,1.40782E+11,1.27857E+11,1.35216E+11,1.40118E+11,1.22879E+11,1.25817E+11,
IBRD only,GDP (current US$),5.95757E+12,6.72824E+12,8.00968E+12,9.57486E+12,1.1353E+13,1.4129E+13,1.6969E+13,1.64776E+13,1.99739E+13,2.36194E+13,2.50546E+13,2.65102E+13,2.73966E+13,2.58543E+13,2.59815E+13,
